timestamp,ir_raw,ir_filtered
1769239276.057512,230949,4.922832342657557e-06
1769239276.0576034,231036,-0.27700766780153074
1769239276.0576797,231157,-2.1494574637567254
1769239276.0577538,231385,-8.538659294975762
1769239276.0578275,231582,-23.79276226838787
1769239276.0579157,231875,-53.22265610020014
1769239276.0664504,232105,-102.70386920354801
1769239276.1263752,232453,-178.33245454359104
1769239276.1659043,232340,-286.1741784496687
1769239276.2264082,231666,-432.22810601963226
1769239276.266364,231530,-622.4764429174998
1769239276.3261588,231604,-862.6469435590176
1769239276.3671763,231725,-1157.7555138388848
1769239276.4273257,231996,-1511.7748295807125
1769239276.4672036,232179,-1927.4744609785885
1769239276.5273366,232383,-2406.369863988773
1769239276.5671387,232573,-2948.7453933643096
1769239276.627229,232880,-3553.6846818499134
1769239276.6672587,233086,-4219.100715429295
1769239276.727353,233377,-4941.803482893146
1769239276.7672489,233572,-5717.603062809825
1769239276.828104,233838,-6541.427127203912
1769239276.8678825,233570,-7407.5020663457235
1769239276.9279246,233223,-8309.654441291446
1769239276.968061,233317,-9241.543127517676
1769239277.02821,233539,-10196.60955306502
1769239277.06796,233693,-11167.943967883653
1769239277.1282418,233904,-12148.30878859434
1769239277.1680827,233960,-13130.27105627041
1769239277.2293665,234045,-14106.362150432251
1769239277.269095,234142,-15069.218758955725
1769239277.3291614,234405,-16011.653099176712
1769239277.3694217,234573,-16926.678150813288
1769239277.429253,234850,-17807.554550573546
1769239277.4691844,234998,-18647.868813760928
1769239277.529175,235208,-19441.624183094173
1769239277.5691054,234926,-20183.378593817248
1769239277.630301,234502,-20868.47668005176
1769239277.670011,234511,-21493.208872946212
1769239277.7303708,234706,-22054.67897332113
1769239277.7703307,234854,-22550.548213144903
1769239277.830323,235107,-22978.912183885146
1769239277.8704188,235157,-23338.29797816965
1769239277.9305036,235229,-23627.717302302746
1769239277.9704072,235300,-23846.717940195394
1769239278.0311599,235441,-23995.3705206019
1769239278.0713222,235573,-24074.21242175464
1769239278.1313274,235748,-24084.19331676631
1769239278.171051,235905,-24026.632152249418
1769239278.2313783,236118,-23903.178851211676
1769239278.271333,236047,-23715.80717380289
1769239278.3311257,235524,-23466.92905351493
1769239278.3713598,235486,-23159.538401200178
1769239278.4312363,235631,-22797.10176619829
1769239278.472353,235745,-22383.264804070528
1769239278.532196,235945,-21921.669415341188
1769239278.5723133,235995,-21415.906493639377
1769239278.6322842,236057,-20869.526617296284
1769239278.6721003,236158,-20286.055672992792
1769239278.7323546,236259,-19668.96772690493
1769239278.7724266,236375,-19021.642951311816
1769239278.8322341,236495,-18347.339219070345
1769239278.873301,236597,-17649.174651174686
1769239278.9332376,236716,-16930.119550183015
1769239278.973079,236798,-16192.993359662749
1769239279.033324,236259,-15440.545281893015
1769239279.0733297,236185,-14675.616146381972
1769239279.1332898,236330,-13901.111627023356
1769239279.1730247,236458,-13119.762481041873
1769239279.2332468,236668,-12333.964627109326
1769239279.2740479,236716,-11545.768178045802
1769239279.3341513,236702,-10756.946088198969
1769239279.3742955,236758,-9969.07932426529
1769239279.434109,236875,-9183.57302072185
1769239279.47437,237017,-8401.618191033584
1769239279.5340574,237155,-7624.169027885085
1769239279.5742242,237266,-6851.958124813711
1769239279.6339583,237383,-6085.533748232873
1769239279.6751568,237377,-5325.31032972188
1769239279.734899,236765,-4571.71148523391
1769239279.7753012,236678,-3825.368287649408
1769239279.8348734,236826,-3087.0821979728094
1769239279.8752372,236986,-2357.562837506729
1769239279.935421,237174,-1637.267296461065
1769239279.9749486,237198,-926.4146903362561
1769239280.0349808,237103,-225.09233559811182
1769239280.0761142,237082,466.62607699600983
1769239280.1359358,237127,1148.6488620867342
1769239280.176,237239,1820.916113605134
1769239280.236045,237380,2483.4553208168027
1769239280.2760901,237497,3136.401818001718
1769239280.3361108,237559,3779.9737989780847
1769239280.3760693,237101,4414.354921927661
1769239280.4360507,236466,5039.450636760308
1769239280.4771833,236365,5654.73869571459
1769239280.5370646,236357,6259.442591802006
1769239280.5770686,236452,6852.824436327862
1769239280.6373463,236538,7434.33440321029
1769239280.6773038,236521,8003.621983788836
1769239280.7372797,236425,8560.467383711992
1769239280.7771058,236423,9104.704514108533
1769239280.8374465,236451,9636.211782042976
1769239280.908565,236522,10154.94900137982
1769239280.9643326,236583,10660.980743727596
1769239281.0158753,236688,11154.47581859979
1769239281.0534582,236649,11635.68209057631
1769239281.0858104,235961,12104.783740543522
1769239281.138425,234980,12561.579635283153
1769239281.1877847,234698,13005.280015844268
1769239281.2378972,234527,13434.728668196754
1769239281.2779121,234497,13848.793589522185
1769239281.3391738,234469,14246.58103283978
1769239281.3790686,234370,14627.480326101675
1769239281.439451,234200,14991.118374414169
1769239281.4787505,234201,15337.303355127608
1769239281.539489,234252,15666.041673378528
1769239281.5788798,234327,15977.588671915339
1769239281.6390743,234415,16272.45637466567
1769239281.6790073,234499,16551.380997418928
1769239281.7400773,234587,16815.27676442629
1769239281.780267,234068,17065.11134255439
1769239281.8401716,232611,17301.533493043386
1769239281.879774,232099,17524.4645850481
1769239281.940054,231875,17733.212719488103
1769239281.9821312,231864,17926.991151971746
1769239282.0399227,231945,18105.28611785685
1769239282.0798059,231869,18267.960729535087
1769239282.140985,231656,18415.18388841029
1769239282.1864514,231581,18547.29847618547
1769239282.24134,231667,18664.792498882543
1769239282.2810488,231826,18768.37432706425
1769239282.3411784,232104,18859.041839047124
1769239282.3809538,232248,18938.08397121108
1769239282.4409714,232462,19007.00853143268
1769239282.4812624,232584,19067.44223127872
1769239282.5424154,232447,19121.00685368556
1769239282.5820208,231455,19169.044262878997
1769239282.642056,230188,19212.16654285936
1769239282.6819768,229950,19250.048312607825
1769239282.7423372,230032,19281.82777678723
1769239282.7817929,230177,19306.70869859786
1769239282.8423717,230317,19324.237511152824
1769239282.8817487,230234,19334.280828043968
1769239282.9430025,230131,19336.885243803237
1769239282.9826932,230175,19332.16630072382
1769239283.0434115,230448,19320.3384928655
1769239283.0827498,230671,19301.819922134393
1769239283.1432393,231054,19277.283353246075
1769239283.18753,231247,19247.629595742845
1769239283.2430096,231542,19213.907025302928
1769239283.2827978,231653,19177.209138403854
1769239283.3443108,230537,19138.416834861226
1769239283.3839393,229575,19097.706218505667
1769239283.444443,229149,19054.309594373448
1769239283.4837196,229196,19006.871921557427
1769239283.5443513,229589,18954.03216525817
1769239283.5837717,229770,18894.801186584806
1769239283.6441119,229734,18828.593198924962
1769239283.6837304,229618,18755.032157607657
1769239283.745038,229658,18673.8004797759
1769239283.7848377,229788,18584.647295586197
1769239283.8453143,230120,18487.488691829472
1769239283.8847501,230344,18382.492240625408
1769239283.9452322,230700,18270.0856803797
1769239283.984663,230889,18150.906604935815
1769239284.045308,230271,18025.614580747366
1769239284.0850055,228975,17894.433003412185
1769239284.146512,227870,17756.67216493708
1769239284.190031,227749,17610.76468583138
1769239284.246131,227982,17454.881057282462
1769239284.285753,228243,17287.565360764285
1769239284.346235,228401,17107.96548764154
1769239284.4168937,228300,16915.735669061687
1769239284.451125,228312,16710.844258899833
1769239284.4858162,228437,16493.475935962542
1769239284.5473175,228797,16264.08251706752
1769239284.5867817,229044,16023.465083227666
1769239284.6470346,229470,15772.781503276592
1769239284.6867006,229719,15513.490869042744
1769239284.7469666,229904,15247.244811123004
1769239284.7866728,228815,14975.586450020963
1769239284.8472323,226784,14699.295076901939
1769239284.8868115,226221,14417.864810783838
1769239284.948115,226122,14129.8714558916
1769239284.9878993,226313,13833.842126097044
1769239285.0480347,226735,13528.812838936423
1769239285.087876,226835,13214.484988087825
1769239285.148203,226869,12891.11595143605
1769239285.1884599,226961,12559.313252462996
1769239285.247777,227362,12219.963386935393
1769239285.2877514,227655,11874.28598267393
1769239285.3490574,228174,11523.861341655296
1769239285.3887646,228473,11170.584534026268
1769239285.4494586,228953,10816.572277519232
1769239285.48868,229206,10464.051544071244
1769239285.5492342,227987,10115.048753539138
1769239285.5887341,226425,9770.713331163379
1769239285.6489742,225433,9430.814490474686
1769239285.688738,225415,9094.03344521374
1769239285.7500513,225872,8758.802315430192
1769239285.7948184,226315,8424.006845585865
1769239285.849961,226736,8089.221937151073
1769239285.889778,226851,7754.600007729919
1769239285.9501193,227238,7420.667167397611
1769239285.989775,227599,7088.219855875894
1769239286.0502374,228224,6758.338136528106
1769239286.092079,228618,6432.393666873269
1769239286.1510947,229164,6111.978986077922
1769239286.1972816,229488,5798.788518940544
1769239286.2506897,229964,5494.504253649716
1769239286.2907772,230331,5200.715110126927
1769239286.3510876,229979,4918.770078695179
1769239286.3914413,228767,4649.366251519379
1769239286.4510086,227789,4392.055906135242
1769239286.4906607,227750,4145.249746202732
1769239286.5521836,228073,3906.836885104826
1769239286.5929093,228411,3674.8430814846038
1769239286.6520019,228707,3447.695815851337
1769239286.6936007,228759,3224.181597580759
1769239286.7521977,228936,3003.310207002164
1769239286.7931957,229151,2784.2459954627157
1769239286.8519373,229601,2566.355089092507
1769239286.8918092,229906,2349.2790975086778
1769239286.9532795,230287,2132.936063137269
1769239286.993533,230521,1917.4512808750133
1769239287.0529897,230886,1703.0823672571116
1769239287.0926423,230786,1490.1287390676675
1769239287.153136,229357,1278.602705110887
1769239287.1934936,228723,1067.726300207695
1769239287.2530038,228663,855.9194289467964
1769239287.2927191,228848,641.3791026411377
1769239287.354214,229263,422.6133063202787
1769239287.3936296,229404,198.64694524356506
1769239287.454317,229437,-31.038118113746865
1769239287.4940624,229555,-266.66607173132405
1769239287.5542321,229904,-508.21537440300966
1769239287.5938644,230176,-755.354379474929
1769239287.6540182,230619,-1007.4035048903917
1769239287.6936305,230885,-1263.3626161214731
1769239287.7551446,231233,-1521.9867910843493
1769239287.7948003,231492,-1781.8797483578976
1769239287.8552418,231057,-2041.6615626374216
1769239287.8949373,229982,-2300.356889626016
1769239287.9551864,229164,-2557.8135034543907
1769239287.9945877,229136,-2814.6697355304113
1769239288.055247,229343,-3071.832434601354
