timestamp,ir_raw,ir_filtered
1769239870.9055989,240943,5.135861133709341e-06
1769239870.9056907,241008,-0.29220613521760086
1769239870.9057682,241047,-2.2751014399003715
1769239870.9058418,241103,-9.079044754013623
1769239870.9059312,241194,-25.421621825335517
1769239870.9225426,241267,-57.13110929600113
1769239870.9834259,241369,-110.7200799141519
1769239871.0238223,241469,-193.0109113866919
1769239871.083744,241609,-310.8035069529859
1769239871.1235378,241723,-470.5883317615552
1769239871.1831813,241558,-678.3499132033306
1769239871.223742,241341,-939.4903702851865
1769239871.2836947,241393,-1258.7444715234574
1769239871.3239188,241473,-1639.969846170834
1769239871.3836358,241582,-2085.928966906082
1769239871.4245524,241650,-2598.1893103192983
1769239871.4848995,241676,-3177.1211867196307
1769239871.524506,241711,-3821.940760875091
1769239871.5842557,241827,-4530.751693837816
1769239871.6244133,241917,-5300.573414596169
1769239871.6845462,242096,-6127.385296351902
1769239871.7244835,242188,-7006.202502677793
1769239871.784808,242286,-7931.192254140965
1769239871.824482,242375,-8895.815709592945
1769239871.884355,242130,-9893.003299751206
1769239871.9245782,241892,-10915.393626571575
1769239871.9856389,241890,-11955.512465935572
1769239872.0254436,241966,-13005.779237746063
1769239872.0855336,242143,-14058.456373557583
1769239872.125514,242235,-15105.67218297157
1769239872.1851985,242365,-16139.523403671934
1769239872.2252533,242384,-17152.21377154791
1769239872.285635,242441,-18136.193314474138
1769239872.3258128,242528,-19084.26590002862
1769239872.3859522,242609,-19989.652870030244
1769239872.4252794,242670,-20846.04863883288
1769239872.4866383,242767,-21647.6809862141
1769239872.526537,242822,-22389.358693928025
1769239872.586586,242565,-23066.552098031487
1769239872.6264858,242417,-23675.5240167503
1769239872.6864963,242582,-24213.35347914207
1769239872.7262561,242681,-24677.790504936973
1769239872.786634,242809,-25067.131741681413
1769239872.8265374,242897,-25380.20363666755
1769239872.8866518,242890,-25616.38667470473
1769239872.9262762,242876,-25775.650155801974
1769239872.987727,242927,-25858.557080343468
1769239873.0275152,242985,-25866.210611425427
1769239873.087738,243130,-25800.173434618482
1769239873.127695,243173,-25662.399056615952
1769239873.1874018,243336,-25455.18766758615
1769239873.2272615,243313,-25181.157665373874
1769239873.2873435,242939,-24843.289469515847
1769239873.3276684,242935,-24445.00840865157
1769239873.3873158,243012,-23990.10328496478
1769239873.4277465,243076,-23482.51844262261
1769239873.4882083,243187,-22926.224323250466
1769239873.5286367,243183,-22325.177481688555
1769239873.588935,243218,-21683.315189977675
1769239873.6287007,243247,-21004.548263564342
1769239873.6885507,243374,-20292.7178019233
1769239873.7284741,243444,-19551.53557068974
1769239873.7887542,243521,-18784.551530030574
1769239873.8285186,243597,-17995.149564843337
1769239873.8883116,243470,-17186.56764501885
1769239873.9287162,243170,-16361.980426854429
1769239873.9893954,243047,-15524.584607124789
1769239874.0294313,243096,-14677.545878687344
1769239874.0895908,243239,-13823.82909245681
1769239874.1298447,243290,-12966.07295203426
1769239874.1894064,243370,-12106.578158285074
1769239874.2295232,243388,-11247.348832529373
1769239874.289575,243386,-10390.137524037886
1769239874.3295867,243418,-9536.482060446078
1769239874.3897593,243462,-8687.71685242779
1769239874.4297354,243500,-7844.970533490037
1769239874.4904823,243562,-7009.1724795181
1769239874.5303469,243446,-6181.08560507095
1769239874.590521,243016,-5361.419782881647
1769239874.6304631,242946,-4550.962198699078
1769239874.690504,243079,-3750.522447964622
1769239874.7304661,243125,-2960.7461797143214
1769239874.7903664,243174,-2182.0405507472415
1769239874.8305223,243178,-1414.620594425051
1769239874.8904204,243127,-658.5733520919716
1769239874.9304872,243108,86.08725437175451
1769239874.9913557,243132,819.398153725516
1769239875.0315714,243174,1541.4596854699241
1769239875.0912917,243247,2252.4506334807897
1769239875.1314526,243318,2952.6301880192764
1769239875.1912382,243412,3642.3288859656464
1769239875.2316515,243150,4321.889612415416
1769239875.2915215,242725,4991.506170825461
1769239875.3317564,242703,5651.100730775918
1769239875.391354,242715,6300.422991677448
1769239875.432617,242729,6939.228555095867
1769239875.492464,242755,7567.344247965611
1769239875.532696,242765,8184.6609973862605
1769239875.5923207,242735,8791.11248141537
1769239875.6327174,242773,9386.651810267538
1769239875.6925604,242873,9971.259135128486
1769239875.7326646,242908,10544.966021794216
1769239875.7981157,242971,11107.848529543066
1769239875.8534794,242989,11659.997318439076
1769239875.904138,243018,12201.491247801292
1769239875.9410865,243043,12732.379266951228
1769239875.9931686,243091,13252.675771417787
1769239876.0334098,243165,13762.369241450846
1769239876.0934875,242744,14261.373959696695
1769239876.13327,242562,14749.394186329218
1769239876.1931372,242565,15225.8942615447
1769239876.2332387,242612,15690.253802895124
1769239876.2935534,242646,16141.907513532431
1769239876.3334284,242675,16580.377466641366
1769239876.394367,242644,17005.25487438484
1769239876.434318,242599,17416.16541901513
1769239876.4946675,242640,17812.75132435306
1769239876.5343244,242696,18194.696190314935
1769239876.594601,242804,18561.765802284946
1769239876.6340785,242894,18913.830363219404
1769239876.694406,242974,19250.859748362527
1769239876.7354615,243017,19572.895240774356
1769239876.7946517,243073,19880.015317280966
1769239876.8343043,243077,20172.308609841773
1769239876.8955824,243143,20449.857109766934
1769239876.9353135,243186,20712.736824548523
1769239876.9959576,242996,20960.995090231387
1769239877.0354183,242685,21194.551097993473
1769239877.0954866,242695,21413.127679083747
1769239877.1355696,242763,21616.35093839016
1769239877.1953506,242837,21803.9086704465
1769239877.2352335,242924,21975.615394533026
1769239877.2954078,242883,22131.394874142366
1769239877.3353515,242847,22271.223691871444
1769239877.396395,242820,22395.083343122977
1769239877.436325,242842,22502.960775849915
1769239877.4967637,242952,22594.887159143163
1769239877.536338,242996,22670.979220962494
1769239877.596478,243128,22731.451678575442
1769239877.636278,243172,22776.607605780493
1769239877.6968067,243203,22806.810120901824
1769239877.7372494,243255,22822.443424837093
1769239877.7967353,243088,22823.869527056835
1769239877.8362136,242788,22811.33686604099
1769239877.8975265,242655,22784.894000031945
1769239877.9372544,242731,22744.44582198837
1769239877.9974961,242836,22689.91975695133
1769239878.0373602,242894,22621.376011230688
1769239878.09747,242961,22539.009678806244
1769239878.1373777,242914,22443.103761534094
1769239878.1970785,242902,22333.97308758848
1769239878.2373157,242928,22211.935407275963
1769239878.2972436,242959,22077.32545675309
1769239878.3384676,242986,21930.512002708398
1769239878.3986225,243019,21771.896417733486
1769239878.438119,243065,21601.907570556046
1769239878.4982576,243143,21421.004287314638
1769239878.5386686,243223,21229.683379220216
1769239878.5986063,243016,21028.445331828618
1769239878.667384,242640,20817.663901164266
1769239878.701497,242489,20597.465887819428
1769239878.7398634,242471,20367.785493703486
1769239878.798122,242484,20128.529055672487
1769239878.839014,242492,19879.6813074773
1769239878.8994694,242460,19621.322018813353
1769239878.9391801,242425,19353.60266004761
1769239878.9995039,242382,19076.72168816601
1769239879.0391154,242432,18790.923860126364
1769239879.0993905,242487,18496.528144075026
1769239879.1392002,242509,18193.9476639723
1769239879.1993663,242564,17883.67666387426
1769239879.2405298,242555,17566.26480603477
1769239879.3005636,242575,17242.28968733262
1769239879.3402631,242575,16912.33394437261
1769239879.4006808,242613,16576.97760420152
1769239879.440287,242353,16236.764369115885
1769239879.500396,241835,15892.069756788818
1769239879.540387,241750,15542.982007062
1769239879.60098,241727,15189.399719745259
1769239879.640019,241681,14831.230451782361
1769239879.7004287,241671,14468.474011903782
1769239879.7401311,241616,14101.22148321112
1769239879.8014047,241482,13729.629282697806
1769239879.8410952,241439,13353.882310801766
1769239879.9015307,241449,12974.199755054713
1769239879.941022,241474,12590.879335925694
1769239880.0015998,241576,12204.33119642865
1769239880.0417333,241610,11815.087925732078
1769239880.101662,241682,11423.786078531333
1769239880.141064,241736,11031.133722183877
1769239880.2015717,241773,10637.882009210503
1769239880.2415075,241806,10244.794137273831
1769239880.3024905,241841,9852.617711592768
1769239880.3421607,241622,9462.036898322576
1769239880.4026537,241145,9073.542040162622
1769239880.4422235,241104,8687.319229902643
1769239880.5023336,241198,8303.358190858326
1769239880.5421872,241231,7921.666709232391
1769239880.6023548,241310,7542.3568352514485
1769239880.641977,241279,7165.621074997284
1769239880.702676,241176,6791.672765251556
1769239880.746263,241165,6420.686881764042
1769239880.8031774,241187,6052.8019770229885
1769239880.8430634,241278,5688.171068555099
1769239880.9035463,241383,5327.006968939081
1769239880.9430106,241482,4969.599812853687
1769239881.0035386,241562,4616.3033131052025
1769239881.0432155,241608,4267.500178519524
1769239881.1035812,241523,3923.5476315239666
1769239881.1430058,241179,3584.674036591757
1769239881.2043076,240971,3250.861986122656
1769239881.2468066,240985,2921.859484709791
1769239881.3046234,241077,2597.341914749555
1769239881.3441226,241146,2277.060050682258
1769239881.4045596,241226,1960.8810252623164
1769239881.4440832,241207,1648.7617444272164
1769239881.5042949,241198,1340.697783340482
1769239881.5441618,241240,1036.6902728654632
1769239881.6046147,241294,736.7567021704249
1769239881.6441174,241344,440.9515424437826
1769239881.7055523,241401,149.36769545560844
1769239881.7475731,241451,-137.87200864060293
1769239881.8055162,241566,-420.6168287315327
1769239881.8451116,241426,-698.7076174972008
1769239881.9055672,241040,-972.0864219618686
1769239881.9451957,240985,-1240.917380324555
1769239882.0055609,241026,-1505.5275372137494
1769239882.0452425,241066,-1766.237044429877
1769239882.1053448,241096,-2023.2752819317552
1769239882.1452234,241099,-2276.786288698133
1769239882.2063441,241036,-2526.861699168395
1769239882.2460895,241047,-2773.57294768967
1769239882.3064108,241131,-3016.961900705695
1769239882.3462358,241214,-3256.9959918356512
1769239882.406467,241345,-3493.5385755922257
1769239882.4463038,241408,-3726.352025345528
1769239882.5064454,241489,-3955.126960192754
1769239882.5462747,241525,-4179.521282174653
1769239882.6066368,241583,-4399.190681833714
1769239882.6472476,241638,-4613.804873090253
1769239882.7072818,241414,-4823.087549486348
1769239882.7470286,241090,-5026.929576311003
1769239882.8070827,240973,-5225.476868647012
1769239882.8471632,241048,-5419.048336696295
1769239882.9073408,241121,-5607.957102519478
1769239882.9473214,241146,-5792.411732182297
1769239883.007267,241159,-5972.526278536222
1769239883.0472178,241132,-6148.362075928664
1769239883.1073751,241099,-6319.961138910845
1769239883.1481376,241113,-6487.3600876571
1769239883.2082593,241164,-6650.5735758274095
1769239883.250514,241240,-6809.562661185346
1769239883.3083255,241350,-6964.211375394606
1769239883.3482182,241453,-7114.317697853808
1769239883.4082704,241551,-7259.602311427246
1769239883.4480014,241573,-7399.740722441726
1769239883.5081933,241675,-7534.402585225562
1769239883.5484138,241705,-7663.271236087426
1769239883.6093621,241782,-7786.052381894165
1769239883.649228,241745,-7902.494250002826
1769239883.7096477,241260,-8012.4796597216255
1769239883.7490191,241159,-8116.163425499037
1769239883.8093138,241243,-8213.933945931885
1769239883.8492305,241309,-8306.205438588473
1769239883.9091127,241369,-8393.294429056774
1769239883.9496067,241400,-8475.42158460784
1769239884.0091226,241329,-8552.75396402831
1769239884.049307,241305,-8625.456046347239
1769239884.1102383,241339,-8693.703663940216
1769239884.1500037,241360,-8757.652715187149
1769239884.2103038,241464,-8817.406168638914
1769239884.2502797,241525,-8872.993799868493
1769239884.3101587,241650,-8924.364638501718
1769239884.3500578,241730,-8971.392031362684
1769239884.4104862,241765,-9013.89662872462
